id,country_city,start_time,end_time,date,mean_temp_celsius,incentive_local,exchange_usd_local,incentive_usd,gender,point_value,site_id,session_n,subject_n,tr_opponet_n,ch_opponent_n,version,treatment,dc_cl_ps,dc_cl_envy,dc_c_ps,dc_c_envy,dc_cl_ps_points,dc_cl_envy_points,dc_c_ps_points,dc_c_envy_points,pr_correct,pr_wrong,pr_not_attempted,tr_correct,tr_wrong,tr_not_attempted,tr_die,tr_total,tr_guess_correct,tr_guess_die,tr_guess_total,tr_other_correct,tr_other_die,tr_other_total,tr_result,tr_points,f_happy,f_energetic,f_frustrated,f_last_meal_min,ch_correct,ch_wrong,ch_not_attempted,ch_die,ch_total,ch_tournament,ch_other_correct,ch_other_die,ch_other_total,ch_result,ch_points,ct_selected,ct_tails,ct_points,task_paid,complete,total_points,total_local_paid,total_usd_paid,final_version,comment,f_last_meal_time,start_time_h,end_time_h,q1_gender,q2_age,q3_education,q4a_live_district,q4b_live_town,q5a_birth_district,q5b_birth_town,q6a_departament,q6b_career,q7_people_household,q8_marital_status,q9_live_with,q10_children_care,q11_children_biological,q12_religion,q13_occupation,q14_socioeconomic_status,q15_income_consistency,q16_membership,q17_exposure_index,q18_stress_1,q19_stress_2,q20_stress_3,q21_stress_4,q22_stress_5,q23_stress_6,q24_stress_7,q25_stress_8,q26_stress_9,q27_stress_10,q28_stress_11,q29_stress_12,q30_stress_13,q31_stress_14,q32_stress_15,q33_last_month_1,q34_last_month_2,q35_last_month_3,q36_last_month_4,q37_last_month_5,q38_last_month_6,q39_last_month_7,q40_last_month_8,q41_last_month_9,q42_last_month_10,q43_satisfaction_1,q44_satisfaction_2,q45_satisfaction_3,q46_satisfaction_4,q47_satisfaction_5,q48_trust_1,q49_trust_2,q50_check,q51_trust_3,q52_trust_4,q53_trust_5,q54_trust_6,q55_trust_7,q56_trust_8,q57_gender_1,q58_gender_2,q59_gender_3,q60_gender_4,q61_gender_5,q62_gender_6,q63_gender_7,q64_gender_8,q65_gender_9,q66_gender_10,q67_gender_11,q68_gender_12,q69_gender_13,q70_gender_14,q71_gender_15,q72_gender_16,q73_gender_17,q74_gender_18,q75_gender_19,q76_gender_20,q77_gender_21,q78_gender_22,q79_gender_23,q80_discounting_1,q81_discounting_2,q82_discounting_3,q83_discounting_4,q84a_friends,q84b_friends,q84c_friends,q85_feelings_1,q86_feelings_2,q87_feelings_3,q88_feelings_4
001024001,mexico_chapingo,16H 8M 0S,17H 19M 0S,2022-06-21,29.1957142857143,100,20,5,Female,10,1,24,1,2,5,A,0,2,1,2,2,16,20,16,23,5,1,6,6,1,5,3,9,5,4,9,6,4,10,0,0,7,9,8,60,6,1,5,5,11,1,6,5,11,1,11,1,1,11,7,1,11,210,10.5,1,NA,1 0,16,17,Female,20,5,texcoco,salitreria,zacualpan,tres cruces,DICEA,TC,8,1,246,0,0,Catholic,6,6,3,No,24,2,4,4,3,1,1,1,2,3,5,2,1,1,5,1,3,3,4,4,3,2,3,4,2,2,4,2,4,3,3,3,2,7,1,3,3,2,2,2,2,1,4,4,5,1,4,4,2,4,1,1,1,1,3,4,4,4,3,2,5,3,2,1,2,7000,2,4,4,0,9,9,9,2
001024002,mexico_chapingo,16H 8M 0S,17H 19M 0S,2022-06-21,29.1957142857143,100,20,5,Female,10,1,24,2,1,4,A,0,1,2,2,2,12,16,16,23,7,0,5,6,1,5,4,10,5,3,8,6,3,9,2,20,6,7,2,120,5,3,4,6,11,1,5,6,11,1,11,6,1,30,7,1,11,210,10.5,1,NA,2 0,16,17,Female,27,7,texcoco,cooperativa,ayala,xalostoc,DICIFO,IFI,3,1,712,0,0,Catholic,6,6,1,Yes,235,5,2,4,5,5,2,5,2,5,5,3,5,3,5,2,4,5,4,2,2,4,2,2,4,5,3,4,2,4,4,3,3,7,2,2,4,2,2,2,2,4,5,4,3,1,4,1,5,5,1,3,1,1,2,3,3,1,3,4,5,3,4,4,3,100000,4,0,0,0,7,7,6,2
001024003,mexico_chapingo,16H 8M 0S,17H 19M 0S,2022-06-21,29.1957142857143,100,20,5,Female,10,1,24,3,4,NA,A,0,1,1,1,2,16,20,16,23,5,1,6,4,0,8,2,6,5,4,9,6,6,12,0,0,7,7,2,60,6,0,6,3,9,0,6,3,9,NA,9,2,1,14.5,7,1,9,190,9.5,1,NA,1 0,16,17,Female,20,5,texcoco,NA,ixhuatlan del cafe veracruz,NA,fitotecnia,horticultura protegida,2,1,1,0,0,Non-religious,6,3,1,No,126,2,2,5,5,5,2,1,3,2,5,1,5,4,5,2,3,4,4,4,2,3,4,2,5,4,2,1,2,3,3,3,3,7,2,3,2,2,2,2,3,2,5,4,2,1,3,2,1,5,1,3,1,1,2,5,3,1,4,1,5,2,4,2,2,70000,2,1,1,1,7,8,8,2
001024004,mexico_chapingo,16H 8M 0S,17H 19M 0S,2022-06-21,29.1957142857143,100,20,5,NA,10,1,24,4,3,2,A,0,1,2,1,2,16,16,16,23,5,1,6,6,1,5,6,12,5,3,8,4,2,6,2,24,8,10,5,360,6,0,6,1,7,1,6,1,7,1,7,4,1,21.5,7,1,7,170,8.5,1,NA,6 0,16,17,NA,20,5,texcoco,salitreria,atzompa,xahuiche,DICEA,comercio internacional,4,1,12,0,0,Protestant/Christian,3,7,1,Yes,156,4,3,1,1,3,4,2,5,1,4,3,3,1,3,1,3,3,3,4,3,2,3,3,3,3,5,2,3,4,5,4,2,7,1,3,2,2,2,2,3,4,4,4,3,1,4,5,1,4,1,1,1,1,4,1,3,2,3,5,5,3,3,4,2,52000,4,1,0,0,8,8,10,7
001024005,mexico_chapingo,16H 8M 0S,17H 19M 0S,2022-06-21,29.1957142857143,100,20,5,Female,10,1,24,5,6,1,A,0,1,1,2,2,16,16,16,23,5,3,4,4,8,0,6,10,5,3,8,5,3,8,2,20,10,10,0,240,3,7,2,1,4,1,3,1,4,1,4,1,1,11,7,1,4,140,7,1,NA,4 0,16,17,Female,20,5,texcoco,cooperativa,pinotepa nacional,pinotepa nacional,DICEA,TC,1,1,NA,0,0,Catholic,6,5,1,No,6,4,4,4,3,2,3,4,3,4,3,2,2,2,3,4,2,3,3,4,4,3,3,3,3,2,4,4,3,4,4,4,3,7,1,3,2,2,2,2,3,3,5,5,2,1,5,5,1,5,1,4,1,1,3,3,3,3,3,4,5,3,2,3,1,70000,3,7,7,0,7,6,6,4
001024006,mexico_chapingo,16H 8M 0S,17H 19M 0S,2022-06-21,29.1957142857143,100,20,5,Female,10,1,24,6,5,NA,A,0,1,1,2,2,16,16,16,23,5,0,7,5,1,6,3,8,7,6,13,4,6,10,0,0,8,9,7,180,7,0,5,6,13,0,6,3,9,NA,13,1,1,11,7,1,13,230,11.5,1,NA,3 0,16,17,Female,19,5,texcoco,san diego,texcoco,san diego,DICEA,TC,4,1,26,0,0,Catholic,6,6,1,No,6,5,4,4,5,3,2,2,3,4,3,1,2,1,3,1,3,3,4,3,3,4,3,2,4,3,4,3,5,5,4,3,3,7,1,3,3,2,1,2,3,3,5,5,1,1,4,5,1,5,1,3,1,1,2,5,4,5,3,1,5,2,3,3,1,60000,3,6,5,0,8,9,9,8
001024008,mexico_chapingo,16H 8M 0S,17H 19M 0S,2022-06-21,29.1957142857143,100,20,5,Male,10,1,24,8,9,NA,A,0,1,2,2,2,16,16,16,23,3,0,9,6,1,5,1,7,7,4,11,6,6,12,0,0,9,10,9,360,6,3,3,2,8,0,6,3,9,NA,8,5,1,26,7,1,8,180,9,1,NA,6 0,16,17,Male,21,5,texcoco,salitreria,atempan,san ambrosio,DICEA,comercio internacional,7,1,2,NA,NA,Catholic,6,6,2,No,6,3,3,1,4,1,3,3,5,1,2,1,2,2,1,1,2,3,2,4,4,2,4,5,2,2,5,5,5,4,4,3,3,7,1,2,3,3,2,2,3,3,4,4,2,1,5,4,1,4,1,2,1,1,1,2,4,4,3,3,5,1,2,1,1,35000,2,1,0,0,8,9,8,3
001024009,mexico_chapingo,16H 8M 0S,17H 19M 0S,2022-06-21,29.1957142857143,100,20,5,Female,10,1,24,9,8,10,A,0,1,1,2,2,16,20,16,23,7,0,5,6,1,5,6,12,8,6,14,6,1,7,2,24,9,8,1,240,6,1,5,2,8,1,6,2,8,1,8,5,1,26,7,1,8,180,9,1,NA,4 0,16,17,Female,20,5,texcoco,huexotla,otumba,belem,DICEA,tronco comun comercio internacional,3,1,11,0,0,Catholic,6,4,1,No,6,5,4,4,4,2,5,5,3,4,1,1,2,5,3,1,4,3,4,2,4,3,3,3,2,3,2,2,4,4,4,3,1,7,1,3,4,3,3,4,2,4,5,5,4,1,5,4,1,5,1,1,1,1,3,4,5,4,1,3,5,3,1,3,2,7000,3,6,6,6,9,8,8,1
001024010,mexico_chapingo,16H 8M 0S,17H 19M 0S,2022-06-21,29.1957142857143,100,20,5,Male,10,1,24,10,13,9,A,0,1,2,1,2,12,16,12,23,5,0,7,6,1,5,5,11,6,5,11,7,2,9,2,22,5,5,0,300,7,5,0,2,9,1,7,2,9,1,9,6,1,30,7,1,9,190,9.5,1,NA,5 0,16,17,Male,18,4,texcoco,NA,queretaro,queretaro,preparatoria,NA,2,1,11,0,0,Non-religious,6,7,1,No,346,5,1,2,5,3,2,5,4,5,4,1,2,1,5,1,4,4,4,3,2,2,2,2,4,5,3,NA,3,5,4,4,3,7,2,4,3,2,2,2,2,4,4,4,3,1,5,1,1,5,1,1,1,1,1,4,5,3,4,2,5,3,4,3,1,300000,3,3,1,1,6,4,4,5
001024013,mexico_chapingo,16H 8M 0S,17H 19M 0S,2022-06-21,29.1957142857143,100,20,5,Female,10,1,24,13,10,NA,A,0,2,1,2,2,16,20,20,23,6,0,6,7,2,3,2,9,9,4,13,6,5,11,0,0,9,8,7,240,6,2,4,2,8,0,6,3,9,NA,8,1,1,11,7,1,8,180,9,1,NA,4 0,16,17,Female,20,5,NA,NA,NA,NA,DICEA,tronco comun,7,1,11,0,0,Catholic,6,4,4,No,NA,5,3,2,5,5,4,5,4,2,5,1,4,1,3,4,3,4,5,3,4,4,4,3,3,4,4,4,3,5,5,3,2,7,2,3,4,2,2,3,3,3,5,4,3,1,5,5,1,5,1,1,1,1,4,3,2,2,3,2,5,3,3,4,2,NA,3,6,1,1,7,7,6,5
